Dummy Trades Date Time,Data.ser version date,CSV Trades History file name,Dummy Trades Summary CSV file name,Symbol,Timeframe,Match Score Smoothing,Match Score Threshold,Price Variation Threshold,Extrapolate Price Variation,Extrapolate Match Score,Pattern Autoconfig,Computation Autoconfig,Computation Type,Computation Pattern Type,Atomic Partition,Scope,Full Scope,Pattern Length,Pattern Granularity,Trading Match Score Smoothing,Trading Match Score Threshold,Trading Price Variation Threshold,Trading Extrapolate Price Variation,Trading Extrapolate Match Score,Reward to Risk ratio,Risk Percentage,Price Variation Multiplier,SL_TP Strategy,Max Trades,Trades Result,Initial Account Balance,Target Account Balance,Final Account Balance,Minimum Account Balance,Number of Trades performed,Number of Longs,Number of Shorts,Number of Useless Trades,Used to Useless Trade ratio,Total PnL,Long PnL,Short PnL,Total Win to Loss ratio,Long Win to Loss ratio,Short Win to Loss ratio,Average Total PnL,Average Long PnL,Average Short PnL,Average Total Return,Average Long Return,Average Short Return,Profit Factor,Profit Factor Qualification,Total Duration (in days),Annualized Return %
18/02/2024 11:13:32,2024.02.15_16.03.34,2024.02.18_11.13.32_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 21:42:17,2024.02.15_16.03.34,2024.02.18_21.42.17_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
18/02/2024 21:42:17,2024.02.15_16.03.34,2024.02.18_21.42.17_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 21:52:10,2024.02.15_16.03.34,2024.02.18_21.52.10_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 21:52:22,2024.02.15_16.03.34,2024.02.18_21.52.22_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
18/02/2024 22:15:58,2024.02.15_16.03.34,2024.02.18_22.15.58_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 22:16:15,2024.02.15_16.03.34,2024.02.18_22.16.15_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
18/02/2024 22:16:08,2024.02.15_16.03.34,2024.02.18_22.16.08_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 22:16:22,2024.02.15_16.03.34,2024.02.18_22.16.22_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
18/02/2024 22:17:29,2024.02.15_16.03.34,2024.02.18_22.17.29_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
18/02/2024 22:17:30,2024.02.15_16.03.34,2024.02.18_22.17.30_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 22:41:35,2024.02.15_16.03.34,2024.02.18_22.41.35_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 22:41:47,2024.02.15_16.03.34,2024.02.18_22.41.47_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
18/02/2024 22:45:41,2024.02.15_16.03.34,2024.02.18_22.45.41_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 22:45:52,2024.02.15_16.03.34,2024.02.18_22.45.52_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
18/02/2024 22:52:18,2024.02.15_16.03.34,2024.02.18_22.52.18_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
18/02/2024 22:52:18,2024.02.15_16.03.34,2024.02.18_22.52.18_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 23:19:15,2024.02.15_16.03.34,2024.02.18_23.19.15_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 23:19:27,2024.02.15_16.03.34,2024.02.18_23.19.27_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
18/02/2024 23:49:58,2024.02.15_16.03.34,2024.02.18_23.49.58_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 23:50:10,2024.02.15_16.03.34,2024.02.18_23.50.10_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
18/02/2024 23:53:21,2024.02.15_16.03.34,2024.02.18_23.53.21_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
18/02/2024 23:53:33,2024.02.15_16.03.34,2024.02.18_23.53.33_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
19/02/2024 00:27:24,2024.02.15_16.03.34,2024.02.19_00.27.24_Dummy Trade Account_randomized=false_BTC_USD_FOUR_HOUR_Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,FOUR_HOUR,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,12,true,18,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,17362.5,5000.0,64,64,0,411,0.16,7362.5,7362.5,0.0,1.67,1.67,0.0,115.04,115.04,0.0,61.35,61.35,0.0,1.52,GOOD,156.83,167.97
19/02/2024 00:27:25,2024.02.15_16.03.34,2024.02.19_00.27.25_Dummy Trade Account_randomized=false_BTC_USD_DAY_Upscale-Upscale-DUMMY_Gemini_BTCUSD_1h_26_08_23_to_14_02_24.csv__NEUTRAL,dummy_trades_summary,BTC_USD,DAY,NONE,20.0,1.0,false,false,TIMEFRAME_LONG,DEFAULT,BASIC_ITERATION,MULTI_PREDICTIVE,true,14,true,21,100,NONE,20,1.0,false,false,2.0,10,2.0,SL_IS_2X_TP,100,NEUTRAL,10000.0,20000.0,16514.63,5000.0,13,13,0,37,0.35,6514.63,6514.63,0.0,12.0,12.0,0.0,501.13,501.13,0.0,51.49,51.49,0.0,14.95,OUTSTANDING,131.0,176.64
